piece_number,short_name,title,subtitle,icon,category,theme_color,set_name,set_folder,piece_type,activity_1,activity_2,activity_3,activity_4,activity_5,activity_6,activity_7,star_benefit,heart_benefit,source_type,source_name,source_link,source_date,v1_laser_path,v2_uv_path,v3_color_path,v1_cdn_url,v2_cdn_url,v3_cdn_url,png_individual_path,png_individual_url,svg_path,base44_files_uploaded,git_committed,status,review_notes,audit_status,audit_notes,illustration_cdn_url,v1_front_cdn,v2_front_cdn,v3_front_cdn,v1_back_cdn,v2_back_cdn,v3_back_cdn,render_params_json,v1_front_url,v1_back_url,v2_front_url,v3_front_url,v3_back_url
11,eat-me-first,Eat Me First Zone,Use what you already bought before it goes bad,🥕,Sustainability,#E65100,Food Waste,food_waste_set,Core,Create a visible eat-first section in your fridge,Move older items to the front daily,Check the eat-first zone before cooking any meal,Do a quick fridge scan every morning,Post a sticky note on fridge as daily reminder,,Use what you already paid for — zero extra cost,Prevents forgotten food waste from ever reaching landfill,Puzzle4Life Set,Food Waste Action Set,,2026-04-14,/app/puzzle4life/food_waste_set/v1_laser_engraved_basswood.png,/app/puzzle4life/food_waste_set/v2_uv_icons_text_on_wood.png,/app/puzzle4life/food_waste_set/v3_full_vibrant_color.png,https://base44.app/api/apps/69d577e334f46ea2be6055ca/files/mp/public/69d577e334f46ea2be6055ca/1b9428985_fw_v1_laser_engraved_basswood.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/8b610279c_generated_image.png,https://base44.app/api/apps/69d577e334f46ea2be6055ca/files/mp/public/69d577e334f46ea2be6055ca/c9e04b2da_fw_v3_full_vibrant_color.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/7225633e0_generated_image.png,,Yes,Yes,true,true,Ready,,PASS,,,,,,,,,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/8b610279c_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/1622687bc_generated_image.png,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/7225633e0_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/9d57d8e7f_generated_image.png
12,leftover-magic,Leftover Magic,Transform leftovers into new meals — don't toss them,🍲,Sustainability,#6A1B9A,Food Waste,food_waste_set,Core,Turn last night's dinner into a new meal,Freeze extras before they go bad,Label leftovers with the date made,Try one new leftover recipe this week,Plan a weekly leftover night,,Replace takeout with leftovers → save $15–30/week,Reduces unnecessary food production and packaging waste,Puzzle4Life Set,Food Waste Action Set,,2026-04-14,/app/puzzle4life/food_waste_set/v1_laser_engraved_basswood.png,/app/puzzle4life/food_waste_set/v2_uv_icons_text_on_wood.png,/app/puzzle4life/food_waste_set/v3_full_vibrant_color.png,https://base44.app/api/apps/69d577e334f46ea2be6055ca/files/mp/public/69d577e334f46ea2be6055ca/1b9428985_fw_v1_laser_engraved_basswood.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/7f9caf0cc_generated_image.png,https://base44.app/api/apps/69d577e334f46ea2be6055ca/files/mp/public/69d577e334f46ea2be6055ca/c9e04b2da_fw_v3_full_vibrant_color.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/b9c3059dc_generated_image.png,,Yes,Yes,true,true,Ready,,PASS,,,,,,,,,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/7f9caf0cc_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/7306bcbd8_generated_image.png,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/b9c3059dc_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/0711005f9_generated_image.png
13,compost-scraps,Compost Scraps,Feed the soil not the landfill,🪱,Sustainability,#558B2F,Food Waste,food_waste_set,Core,Collect food scraps daily into a container,Start a compost bin or Wormspire tower,Avoid composting meat and dairy (basic),Use finished compost in your garden or give it away,Connect with Austin Worm Lab for starter worms,,Reduce trash bags + create free fertilizer → save $5–10/mo,Cuts methane emissions — food in landfill is a climate crisis,Puzzle4Life Set,Food Waste Action Set,,2026-04-14,/app/puzzle4life/food_waste_set/v1_laser_engraved_basswood.png,/app/puzzle4life/food_waste_set/v2_uv_icons_text_on_wood.png,/app/puzzle4life/food_waste_set/v3_full_vibrant_color.png,https://base44.app/api/apps/69d577e334f46ea2be6055ca/files/mp/public/69d577e334f46ea2be6055ca/1b9428985_fw_v1_laser_engraved_basswood.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/0a75450d9_generated_image.png,https://base44.app/api/apps/69d577e334f46ea2be6055ca/files/mp/public/69d577e334f46ea2be6055ca/c9e04b2da_fw_v3_full_vibrant_color.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/715ee746a_generated_image.png,,Yes,Yes,true,true,Ready,,PASS,,,,,,,,,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/0a75450d9_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/bb26ae211_generated_image.png,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/715ee746a_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/998d5ce4b_generated_image.png
14,waste-awareness,Waste Awareness,Track it to change it — identify your food waste patterns,📊,Sustainability,#00838F,Food Waste,food_waste_set,Core,Track what you throw away for 3 days,Identify your top 3 most wasted items,Adjust buying habits based on what you found,Set a weekly waste reduction goal,Share your data with a friend or family member,,Identify money leaks → save $5–20/week once patterns found,Builds conscious consumption — awareness drives lasting change,Puzzle4Life Set,Food Waste Action Set,,2026-04-14,/app/puzzle4life/food_waste_set/v1_laser_engraved_basswood.png,/app/puzzle4life/food_waste_set/v2_uv_icons_text_on_wood.png,/app/puzzle4life/food_waste_set/v3_full_vibrant_color.png,https://base44.app/api/apps/69d577e334f46ea2be6055ca/files/mp/public/69d577e334f46ea2be6055ca/1b9428985_fw_v1_laser_engraved_basswood.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/4462c6a27_generated_image.png,https://base44.app/api/apps/69d577e334f46ea2be6055ca/files/mp/public/69d577e334f46ea2be6055ca/c9e04b2da_fw_v3_full_vibrant_color.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/7ab6e8642_generated_image.png,,Yes,Yes,true,true,Ready,,PASS,,,,,,,,,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/4462c6a27_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/7fe61291c_generated_image.png,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/7ab6e8642_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/724e9b69b_generated_image.png
15,share-and-donate,Share & Donate,Give food a second life in your community,🤝,Sustainability,#C62828,Food Waste,food_waste_set,Core,Share extra food with neighbors or coworkers,Donate unopened items to a local food bank,Use a food-sharing app to find nearby recipients,Offer surplus garden produce to friends,Post surplus on neighborhood social apps,,Reduce waste guilt + community goodwill,Supports food-insecure neighbors + reduces landfill load,Puzzle4Life Set,Food Waste Action Set,,2026-04-14,/app/puzzle4life/food_waste_set/v1_laser_engraved_basswood.png,/app/puzzle4life/food_waste_set/v2_uv_icons_text_on_wood.png,/app/puzzle4life/food_waste_set/v3_full_vibrant_color.png,https://base44.app/api/apps/69d577e334f46ea2be6055ca/files/mp/public/69d577e334f46ea2be6055ca/1b9428985_fw_v1_laser_engraved_basswood.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/92a39af87_generated_image.png,https://base44.app/api/apps/69d577e334f46ea2be6055ca/files/mp/public/69d577e334f46ea2be6055ca/c9e04b2da_fw_v3_full_vibrant_color.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/63c2ef7e4_generated_image.png,,Yes,Yes,true,true,Ready,,PASS,,,,,,,,,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/92a39af87_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/d8659a0cd_generated_image.png,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/63c2ef7e4_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/5ae93c727_generated_image.png
16,save-money-star,Save Money,Every food waste action saves you real money this week,⭐,Sustainability,#F9A825,Food Waste,food_waste_set,Star,Calculate how much food you wasted in dollars this week,Set a $10 weekly food waste savings goal,Track one money-saving food win per day,Compare monthly grocery bills before and after,,,$10–50/week saved by combining all 7 pieces,Every dollar saved is resources that didn't need to be produced,Puzzle4Life Set,Food Waste Action Set,,2026-04-14,/app/puzzle4life/food_waste_set/v1_laser_engraved_basswood.png,/app/puzzle4life/food_waste_set/v2_uv_icons_text_on_wood.png,/app/puzzle4life/food_waste_set/v3_full_vibrant_color.png,https://base44.app/api/apps/69d577e334f46ea2be6055ca/files/mp/public/69d577e334f46ea2be6055ca/1b9428985_fw_v1_laser_engraved_basswood.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/f2511fdb2_generated_image.png,https://base44.app/api/apps/69d577e334f46ea2be6055ca/files/mp/public/69d577e334f46ea2be6055ca/c9e04b2da_fw_v3_full_vibrant_color.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/7e0220b53_generated_image.png,,Yes,Yes,true,true,Ready,,WARN,Star/Heart pieces usually have 3-4 activities,,,,,,,,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/f2511fdb2_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/9c5bdd6a0_generated_image.png,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/7e0220b53_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/a1f747205_generated_image.png
17,planet-impact-heart,Planet Impact,Your daily actions compound into real planetary change,❤️,Sustainability,#E91E63,Food Waste,food_waste_set,Heart,Share your food waste win on social with #OnePercentBetterForThePlanet,Teach one person one food waste tip this week,Join or start a local food waste reduction group,Calculate your monthly CO2 savings from reduced waste,,,Completing this set saves ~$50–100/month on groceries,Each household cutting food waste = 2.5 tons CO2 saved per year,Puzzle4Life Set,Food Waste Action Set,,2026-04-14,/app/puzzle4life/food_waste_set/v1_laser_engraved_basswood.png,/app/puzzle4life/food_waste_set/v2_uv_icons_text_on_wood.png,/app/puzzle4life/food_waste_set/v3_full_vibrant_color.png,https://base44.app/api/apps/69d577e334f46ea2be6055ca/files/mp/public/69d577e334f46ea2be6055ca/1b9428985_fw_v1_laser_engraved_basswood.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/cf5297550_generated_image.png,https://base44.app/api/apps/69d577e334f46ea2be6055ca/files/mp/public/69d577e334f46ea2be6055ca/c9e04b2da_fw_v3_full_vibrant_color.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/589afef5f_generated_image.png,,Yes,Yes,true,true,Ready,,WARN,Star/Heart pieces usually have 3-4 activities,,,,,,,,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/cf5297550_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/951eca190_generated_image.png,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/589afef5f_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/1a1f51e6f_generated_image.png
18,start-your-tower,Start Your Tower,The first step to turning food scraps into garden gold,🪱,Sustainability,#2E7D32,Wormspire,wormspire_growth_set,Core,Order or build your Wormspire vertical composting tower,Set it up in a shaded spot — kitchen or patio works great,Add bedding (shredded cardboard + coconut coir),Add your first batch of red wiggler worms,Feed scraps every 2-3 days — small amounts to start,Track your tower's progress weekly,,Skip buying fertilizer — your tower makes it free,Diverts food scraps from landfill from day one,Puzzle4Life Set,Wormspire Growth Set,,2026-04-15,/app/puzzle4life/wormspire_growth_set/v1_laser_engraved_basswood.png,/app/puzzle4life/wormspire_growth_set/v2_uv_icons_text_on_wood.png,/app/puzzle4life/wormspire_growth_set/v3_full_vibrant_color.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/c0f985df1_generated_image.png,https://base44.app/api/apps/69d577e334f46ea2be6055ca/files/mp/public/69d577e334f46ea2be6055ca/d578ce255_v2_uv_icons_text_on_wood.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/d3476e72c_generated_image.png,,,Yes,true,true,Ready,,PASS,,,/app/puzzle4life/wormspire_growth_set/pieces/piece_18_start-your-tower_front_v1.png,/app/puzzle4life/wormspire_growth_set/pieces/piece_18_start-your-tower_front_v2.png,/app/puzzle4life/wormspire_growth_set/pieces/piece_18_start-your-tower_front_v3.png,/app/puzzle4life/wormspire_growth_set/pieces/piece_18_start-your-tower_back_v1.png,/app/puzzle4life/wormspire_growth_set/pieces/piece_18_start-your-tower_back_v2.png,/app/puzzle4life/wormspire_growth_set/pieces/piece_18_start-your-tower_back_v3.png,"{""piece_number"": ""18"", ""short_name"": ""start-your-tower"", ""theme_color"": ""#2E7D32"", ""piece_type"": ""Core"", ""canvas_size"": 1024, ""hex_radius"": 420, ""tab_w"": 60, ""tab_h"": 35, ""tab_r"": 12, ""title_font_size"": 52, ""subtitle_font_size"": 30, ""checklist_font_size"": 27, ""title_y"": 155, ""subtitle_y"": 215, ""illustration_y"": 370, ""set_name_x"": 105, ""set_name_y"": 830, ""piece_num_x"": 920, ""piece_num_y"": 830, ""rendered_at"": ""2026-04-16T04:04:24.535230"", ""template_version"": ""gold_2026-04-15""}",https://media.base44.com/images/public/69d577e334f46ea2be6055ca/c0f985df1_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/81fc8b451_generated_image.png,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/d3476e72c_generated_image.png,
19,harvest-castings,Harvest Castings,Turn worm waste into black gold for your garden,🌱,Sustainability,#5D4037,Wormspire,wormspire_growth_set,Core,Wait 60-90 days after setup before first harvest,Move worms to one side and collect ready castings from the other,Sift castings through a mesh screen to remove any worms,Mix 1 part castings with 4 parts soil for potted plants,Give surplus castings to neighbors or sell locally,Document your harvest weight to track tower productivity,,Sell surplus castings $5-15/lb — tower pays for itself fast,Worm castings regenerate soil microbiome naturally,Puzzle4Life Set,Wormspire Growth Set,,2026-04-15,/app/puzzle4life/wormspire_growth_set/v1_laser_engraved_basswood.png,/app/puzzle4life/wormspire_growth_set/v2_uv_icons_text_on_wood.png,/app/puzzle4life/wormspire_growth_set/v3_full_vibrant_color.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/d3476e72c_generated_image.png,https://base44.app/api/apps/69d577e334f46ea2be6055ca/files/mp/public/69d577e334f46ea2be6055ca/d578ce255_v2_uv_icons_text_on_wood.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/bf2f39806_generated_image.png,,,Yes,true,true,Ready,,PASS,,,,,,,,,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/d3476e72c_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/ad7975340_generated_image.png,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/bf2f39806_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/3786b7fc8_generated_image.png
20,list-on-amazon,List on Amazon,Get your Wormspire in front of millions of buyers,📦,Business,#FF9900,Wormspire,wormspire_growth_set,Core,Create a seller account on Amazon if you haven't already,Write a keyword-rich product title with primary benefit,Add 5 bullet points covering key features and differentiators,Upload at least 7 high-quality product photos,Set competitive pricing using the Amazon fee calculator,Enable FBA or set up efficient self-fulfillment,,Amazon's 300M buyers = fastest path to first sales,Sustainable products have rising demand on Amazon,Puzzle4Life Set,Wormspire Growth Set,,2026-04-15,/app/puzzle4life/wormspire_growth_set/v1_laser_engraved_basswood.png,/app/puzzle4life/wormspire_growth_set/v2_uv_icons_text_on_wood.png,/app/puzzle4life/wormspire_growth_set/v3_full_vibrant_color.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/1c0485edd_generated_image.png,https://base44.app/api/apps/69d577e334f46ea2be6055ca/files/mp/public/69d577e334f46ea2be6055ca/d578ce255_v2_uv_icons_text_on_wood.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/330ee0d7b_generated_image.png,,,Yes,true,true,Ready,,PASS,,,,,,,,,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/1c0485edd_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/992e6f68e_generated_image.png,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/330ee0d7b_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/07ec88cee_generated_image.png
21,get-reviews,Get Reviews,Social proof is your most powerful sales tool,⭐,Business,#FBC02D,Wormspire,wormspire_growth_set,Core,Follow up with every buyer using Amazon's Request a Review button,Include a handwritten thank-you card in every shipment,Ask happy customers directly to leave an honest review,Respond to every review — positive and negative — within 24h,Use negative reviews to improve your product and listing,Display your star rating proudly in all your marketing,,More reviews = higher rankings = more organic sales,Happy customers spread the word and grow the movement,Puzzle4Life Set,Wormspire Growth Set,,2026-04-15,/app/puzzle4life/wormspire_growth_set/v1_laser_engraved_basswood.png,/app/puzzle4life/wormspire_growth_set/v2_uv_icons_text_on_wood.png,/app/puzzle4life/wormspire_growth_set/v3_full_vibrant_color.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/22e1c579f_generated_image.png,https://base44.app/api/apps/69d577e334f46ea2be6055ca/files/mp/public/69d577e334f46ea2be6055ca/d578ce255_v2_uv_icons_text_on_wood.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/f69d05b7d_generated_image.png,,,Yes,true,true,Ready,,PASS,,,,,,,,,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/22e1c579f_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/a91e3bc56_generated_image.png,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/f69d05b7d_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/d7a4b77be_generated_image.png
22,tell-your-story,Tell Your Story,Content is the compounding asset that never stops working,📣,Business,#E65100,Wormspire,wormspire_growth_set,Core,Post a 60-second worm tower setup video on TikTok or Reels,Share your first harvest result with before/after photos,Write one blog post or newsletter issue about your worm journey,Cross-post content across all 5 brand channels consistently,Use #wormspire and composting hashtags on every post,Invite followers to share their own composting wins,,Content drives organic traffic — zero ad spend required,Your story inspires others to start composting,Puzzle4Life Set,Wormspire Growth Set,,2026-04-15,/app/puzzle4life/wormspire_growth_set/v1_laser_engraved_basswood.png,/app/puzzle4life/wormspire_growth_set/v2_uv_icons_text_on_wood.png,/app/puzzle4life/wormspire_growth_set/v3_full_vibrant_color.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/2eb726637_generated_image.png,https://base44.app/api/apps/69d577e334f46ea2be6055ca/files/mp/public/69d577e334f46ea2be6055ca/d578ce255_v2_uv_icons_text_on_wood.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/6289857a8_generated_image.png,,,Yes,true,true,Ready,,PASS,,,,,,,,,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/2eb726637_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/03caf98c4_generated_image.png,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/6289857a8_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/1d9fe7432_generated_image.png
23,repeat-and-scale,Repeat & Scale,Every system that works once can be multiplied,🔁,Business,#6A1B9A,Wormspire,wormspire_growth_set,Core,Identify your best-selling SKU and double down on it,Add one new product variation per quarter,Expand to Etsy and your own site after Amazon traction,Set up automated reorder triggers for supplies,Reinvest 20% of profit into ads or new product development,Review and optimize your listings monthly,,Scaling a proven product multiplies profit without new risk,More towers in homes = more food scraps diverted daily,Puzzle4Life Set,Wormspire Growth Set,,2026-04-15,/app/puzzle4life/wormspire_growth_set/v1_laser_engraved_basswood.png,/app/puzzle4life/wormspire_growth_set/v2_uv_icons_text_on_wood.png,/app/puzzle4life/wormspire_growth_set/v3_full_vibrant_color.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/cdc02b0ad_generated_image.png,https://base44.app/api/apps/69d577e334f46ea2be6055ca/files/mp/public/69d577e334f46ea2be6055ca/d578ce255_v2_uv_icons_text_on_wood.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/451794b8e_generated_image.png,,,Yes,true,true,Ready,,PASS,,,,,,,,,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/cdc02b0ad_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/a9498504d_generated_image.png,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/451794b8e_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/80bc358c3_generated_image.png
24,grow-the-community,Grow the Community,The people around your product are the product's future,🌿,Sustainability,#00695C,Wormspire,wormspire_growth_set,Core,Partner with Austin Worm Lab for local cross-promotion,Host a composting demo at a local event or farmers market,Create a free worm starter guide and give it away,Start a Wormspire owners Facebook group or Discord,Collaborate with GreenSprout Hub for bundled offerings,Feature your community members in your content,,Community = free marketing + loyal repeat buyers,A composting community multiplies environmental impact,Puzzle4Life Set,Wormspire Growth Set,,2026-04-15,/app/puzzle4life/wormspire_growth_set/v1_laser_engraved_basswood.png,/app/puzzle4life/wormspire_growth_set/v2_uv_icons_text_on_wood.png,/app/puzzle4life/wormspire_growth_set/v3_full_vibrant_color.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/7f7ee5f1a_generated_image.png,https://base44.app/api/apps/69d577e334f46ea2be6055ca/files/mp/public/69d577e334f46ea2be6055ca/d578ce255_v2_uv_icons_text_on_wood.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/267e30c18_generated_image.png,,,Yes,true,true,Ready,,PASS,,,,,,,,,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/7f7ee5f1a_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/1d8d46299_generated_image.png,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/267e30c18_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/215af3639_generated_image.png
25,worm-save-money-star,Save Money,Your worm tower pays for itself in free fertilizer and pro,⭐,Sustainability,#F9A825,Wormspire,wormspire_growth_set,Star,Calculate your monthly fertilizer savings from castings,Track revenue from Wormspire sales this week,Identify one cost you can cut using your tower output,,,,$50-200/month in fertilizer savings + product revenue,Every tower replaces chemical fertilizer — good for soil and planet,Puzzle4Life Set,Wormspire Growth Set,,2026-04-15,/app/puzzle4life/wormspire_growth_set/v1_laser_engraved_basswood.png,/app/puzzle4life/wormspire_growth_set/v2_uv_icons_text_on_wood.png,/app/puzzle4life/wormspire_growth_set/v3_full_vibrant_color.png,https://base44.app/api/apps/69d577e334f46ea2be6055ca/files/mp/public/69d577e334f46ea2be6055ca/13e5e8033_v1_laser_engraved_basswood.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/5415c7e0d_generated_image.png,https://base44.app/api/apps/69d577e334f46ea2be6055ca/files/mp/public/69d577e334f46ea2be6055ca/6ad7e9abf_v3_full_vibrant_color.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/cb6f02403_generated_image.png,,Yes,Yes,true,true,Ready,,WARN,Duplicate title 'Save Money' (also piece 16),,,,,,,,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/5415c7e0d_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/a28497162_generated_image.png,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/cb6f02403_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/5e1c94da6_generated_image.png
26,worm-planet-impact-heart,Planet Impact,Every Wormspire tower is a small climate solution at scale,❤️,Sustainability,#E91E63,Wormspire,wormspire_growth_set,Heart,Share your composting journey with #OnePercentBetterForThePlanet,Teach one person how to start vermicomposting this week,Calculate how many lbs of scraps your tower has diverted,,,,One tower diverts 100-200 lbs of food scraps per year from landfill,10 towers = 1-2 tons of CO2 equivalent not released as methane,Puzzle4Life Set,Wormspire Growth Set,,2026-04-15,/app/puzzle4life/wormspire_growth_set/v1_laser_engraved_basswood.png,/app/puzzle4life/wormspire_growth_set/v2_uv_icons_text_on_wood.png,/app/puzzle4life/wormspire_growth_set/v3_full_vibrant_color.png,https://base44.app/api/apps/69d577e334f46ea2be6055ca/files/mp/public/69d577e334f46ea2be6055ca/13e5e8033_v1_laser_engraved_basswood.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/5928eec21_generated_image.png,https://base44.app/api/apps/69d577e334f46ea2be6055ca/files/mp/public/69d577e334f46ea2be6055ca/6ad7e9abf_v3_full_vibrant_color.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/8ab117737_generated_image.png,,Yes,Yes,true,true,Ready,,WARN,Duplicate title 'Planet Impact' (also piece 17),,,,,,,,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/5928eec21_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/bd2bc6bb7_generated_image.png,,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/8ab117737_generated_image.png,https://media.base44.com/images/public/69d577e334f46ea2be6055ca/30b874220_generated_image.png
